305	793	5	886324712
733	148	3	879536607
524	550	3	884636958
467	327	4	879532164
486	237	4	879874629
297	628	4	874954497
727	386	2	883712805
494	174	5	879541112
276	198	5	874795949
94	99	3	891721815
378	86	4	880045935
307	22	3	879205470
648	188	5	884882664
826	550	3	885690750
262	747	4	879793641
369	335	2	889428072
480	257	4	891208037
315	186	4	879821065
71	302	3	880864015
271	705	4	885849052
790	63	2	885157837
932	56	4	891250584
618	93	3	891307019
405	178	3	885544947
314	274	3	877886788
403	118	5	879785974
487	955	5	884024462
763	191	4	878915063
15	409	3	879456324
443	343	5	883504771
236	673	4	890116132
94	401	4	891722678
401	97	4	891033582
268	239	3	875310491
139	100	5	879538199
82	286	4	876311004
355	1233	4	879486421
345	245	2	884901497
151	203	3	879524471
456	357	4	881373084
900	183	3	877833781
322	234	4	887313893
568	1286	4	877907327
475	303	1	891451341
505	95	4	889333313
805	588	2	881695527
459	969	3	879564882
305	48	5	886323591
716	186	3	879795867
393	11	3	887745844
254	892	3	886470904
893	849	3	874830372
939	508	5	880261141
610	127	5	888702902
594	222	4	874783052
406	136	4	879445522
638	265	5	876695216
586	756	1	884067105
270	694	5	876954927
727	779	2	883712717
401	483	4	891033121
645	81	4	892055039
758	12	5	881975243
795	636	3	883253661
136	1142	4	882693569
299	168	4	878192039
664	58	4	876525292
897	68	5	879994113
292	705	4	881105374
468	135	5	875287895
534	546	4	877808120
416	538	4	885114408
764	64	5	876244991
916	399	3	880845135
468	222	4	875279269
432	93	2	889415812
421	12	5	892241458
919	312	2	885059658
715	595	3	875962718
268	147	4	876514002
45	1001	3	881014785
186	470	5	879023693
404	333	2	883790286
868	216	2	877109234
295	660	5	879518143
664	708	4	876525077
432	123	3	889416312
759	237	3	881476891
450	91	4	887660763
299	733	3	888855244
200	755	5	884129729
887	562	5	881381071
796	525	4	892761390
425	118	1	878738596
718	111	4	883348634
303	940	2	879485659
757	570	3	888466683
727	228	4	883711527
184	258	3	889906882
639	512	2	891239759
292	228	5	881105211
14	7	5	876965061
243	713	3	879987495
168	325	1	884287073
451	875	2	879012721
690	629	1	881177459
610	183	4	888703749
56	215	5	892678547
709	282	5	879847945
269	673	4	891448322
870	385	3	879714159
707	9	5	880059647
756	251	4	875129238
715	475	4	875962049
932	474	5	891250418
417	692	4	879648132
425	171	3	890347138
200	1091	4	884129814
286	577	2	877535500
447	31	4	878856526
129	313	3	883243934
396	841	4	884646648
296	950	4	884196741
796	855	3	893279958
600	269	4	888451388
21	200	5	874951695
83	2	4	881971771
653	248	3	884405730
249	12	5	879572472
374	247	1	880936522
249	56	5	879572189
256	123	2	882150508
503	580	3	880383236
129	323	1	883245452
271	496	5	885849140
818	302	5	891870264
498	258	2	881955080
442	77	3	883391325
468	428	4	875291403
577	68	4	880475021
257	130	2	882050236
741	15	4	891456573
650	159	3	891370093
408	347	3	889679761
889	646	3	880177970
128	508	4	879967767
157	1244	3	886891194
562	1	2	879194894
326	615	4	879875724
878	111	4	880867282
591	1111	4	891031603
525	147	3	881085893
553	190	5	879949251
489	876	2	891447218
