26	1010	2	891377609
405	96	3	885544881
562	806	1	879195289
622	294	3	882589830
36	1026	5	882157581
883	956	4	891717885
462	323	2	886365837
864	1228	3	888892375
831	713	5	891354970
435	111	3	884132777
711	71	3	879994581
261	243	5	890454351
160	213	4	876859778
455	597	3	879110123
887	697	1	881380623
486	13	4	879874811
943	672	5	888640125
293	685	3	888905170
389	654	5	879991411
541	79	5	883871524
495	432	5	888633396
601	8	3	876348736
458	735	2	886397679
246	117	3	884921767
246	409	2	884923372
404	294	4	883790430
27	118	3	891543222
659	568	4	891384850
919	303	4	875920245
506	137	2	874872872
11	12	2	891904194
87	252	3	879876224
84	222	4	883450020
776	218	4	892920321
488	153	2	891293974
330	51	5	876546753
5	394	2	879198031
178	250	4	888514821
398	235	2	875716709
916	218	3	880845303
92	1047	1	875644796
625	433	3	891636427
2	273	4	888551647
608	97	3	880405659
749	595	4	878850107
587	995	3	892871503
90	59	5	891383173
230	266	4	880484286
151	154	4	879524642
56	258	4	892675999
586	651	3	884059287
378	51	3	880333195
854	535	3	882813364
328	98	4	885045899
1	8	1	875072484
472	678	4	883904118
497	569	2	879362359
564	323	3	888730838
458	96	4	886398543
73	154	5	888625343
117	1012	4	881008815
337	127	3	875184682
561	484	4	885807215
378	10	3	880044454
534	1	5	877807718
248	168	4	884534945
883	176	4	891696895
268	71	3	875309486
852	117	4	891036707
29	678	3	882821582
269	153	3	891449346
611	752	5	891636223
637	685	3	882904829
463	455	3	877385457
391	603	5	877398991
26	343	3	891349238
94	417	3	891722799
538	172	4	877107765
207	133	4	875812281
505	227	2	889334334
216	466	4	880234347
368	436	3	889783562
592	100	5	882608182
431	245	4	877844489
773	45	4	888538776
843	275	3	879446680
846	435	5	883948222
790	570	2	885158057
328	645	4	885046344
472	411	4	875979113
370	210	3	879434745
425	1129	3	878738245
276	249	4	874786632
805	603	4	881696335
367	164	4	876690119
158	194	5	880134913
735	276	4	876698796
21	559	1	874951761
857	20	3	883432688
715	470	4	875963538
452	516	3	888324014
13	831	3	882398385
49	95	2	888067031
622	143	4	882670228
686	99	5	879546553
75	1001	1	884050531
303	357	5	879466717
356	310	3	891405721
301	284	4	882074708
344	132	4	889814194
605	187	5	879425432
617	647	3	883789006
694	205	5	875726968
201	1187	3	884112201
297	1007	4	874954763
